exposure,model,n_cases,n_obs,rr_ci,rr,lci,uci,n_imps
MVM any vs none,"Secondary: covariates, no site",700,40700,"1.25 (1.07, 1.46)",1.2507103513044455,1.0688999476304257,1.4634450926186606,20
MVM any vs none,Primary: covariates + site,700,40700,"1.14 (0.96, 1.35)",1.1405066756046487,0.9623001148470063,1.3517149764713177,20
MVM any vs none,Covariates + examiner,700,40700,"1.18 (0.99, 1.40)",1.181411423637282,0.9939747761996109,1.4041935321911796,20
"MVM score, per 1 point","Secondary: covariates, no site",700,40700,"1.12 (1.03, 1.21)",1.1178545833565972,1.0316513572392787,1.2112608205889486,20
"MVM score, per 1 point",Primary: covariates + site,700,40700,"1.05 (0.97, 1.15)",1.0531336229883546,0.96588703972986,1.148261010085371,20
"MVM score, per 1 point",Covariates + examiner,700,40700,"1.07 (0.98, 1.17)",1.0733580502161455,0.9846085752516471,1.1701071196433075,20
AI any vs none,"Secondary: covariates, no site",700,40700,"1.20 (1.02, 1.42)",1.2030998635189436,1.017315531833314,1.4228125260122968,20
AI any vs none,Primary: covariates + site,700,40700,"1.14 (0.96, 1.35)",1.137723870345462,0.9615183238710222,1.3462204234887676,20
AI any vs none,Covariates + examiner,700,40700,"1.16 (0.98, 1.37)",1.1562111369547359,0.975871143267531,1.3698777778611682,20
