outcome,analysis_type,exposure,model,term,original,corrected,n_cases,n_obs
V2 suspect = present,supplemental,AI stage (3-level),adjusted,ai3Low,"1.27 (1.06, 1.52)","1.27 (1.06, 1.52)",930,40700
V2 suspect = present,supplemental,AI stage (3-level),adjusted+IPW,ai3High,"1.08 (0.88, 1.33)","1.08 (0.88, 1.33)",930,40700
V2 suspect = present,supplemental,AI stage (3-level),adjusted+IPW,ai3Low,"1.28 (1.07, 1.53)","1.28 (1.07, 1.53)",930,40700
V2 suspect = present,supplemental,MVM grade (3-level),adjusted,mvm3High,"1.16 (0.84, 1.59)","1.16 (0.84, 1.59)",930,40700
V2 suspect = present,supplemental,MVM grade (3-level),adjusted,mvm3Low,"1.28 (1.11, 1.48)","1.28 (1.11, 1.48)",930,40700
V2 suspect = present,supplemental,MVM grade (3-level),adjusted+IPW,mvm3High,"1.15 (0.83, 1.58)","1.15 (0.83, 1.58)",930,40700
V2 suspect = present,supplemental,MVM grade (3-level),adjusted+IPW,mvm3Low,"1.28 (1.11, 1.48)","1.28 (1.11, 1.48)",930,40700
V2 suspect = present,supplemental,MVM x AI interaction,adjusted,ai1,"1.12 (0.94, 1.35)","1.12 (0.94, 1.35)",930,40700
V2 suspect = present,supplemental,MVM x AI interaction,adjusted,mvm21,"1.21 (1.03, 1.42)","1.21 (1.04, 1.43)",930,40700
V2 suspect = present,supplemental,MVM x AI interaction,adjusted,mvm21:ai1,"1.14 (0.84, 1.53)","1.14 (0.84, 1.54)",930,40700
V2 suspect = present,supplemental,MVM x AI interaction,adjusted+IPW,ai1,"1.12 (0.93, 1.35)","1.12 (0.93, 1.34)",930,40700
V2 suspect = present,supplemental,MVM x AI interaction,adjusted+IPW,mvm21,"1.21 (1.03, 1.42)","1.21 (1.03, 1.43)",930,40700
V2 suspect = present,supplemental,MVM x AI interaction,adjusted+IPW,mvm21:ai1,"1.13 (0.83, 1.52)","1.13 (0.83, 1.52)",930,40700
V2 suspect = present,supplemental,Tumor (possible chorangioma),adjusted,chorangioma1,"4.23 (2.29, 7.82)","4.24 (2.29, 7.83)",929,40546
V2 suspect = present,supplemental,Tumor (possible chorangioma),adjusted+IPW,chorangioma1,"4.39 (2.39, 8.07)","4.40 (2.39, 8.09)",929,40546
