step,MVM any vs none,MVM score (continuous),AI any vs none,AI score (continuous)
1. Crude,"1.22 (1.05, 1.43)","1.09 (1.01, 1.18)","1.25 (1.06, 1.47)","1.03 (0.98, 1.09)"
"2. + Demographics (age, race, education, income, marital)","1.25 (1.07, 1.46)","1.13 (1.04, 1.23)","1.18 (1.00, 1.40)","1.04 (0.98, 1.09)"
"3. + Health (BMI, smoking, diabetes, chronic HTN)","1.24 (1.06, 1.45)","1.12 (1.04, 1.22)","1.19 (1.01, 1.41)","1.04 (0.99, 1.09)"
"4. + Reproductive (parity, infant sex) = full, no site","1.26 (1.07, 1.47)","1.12 (1.04, 1.22)","1.20 (1.01, 1.42)","1.04 (0.99, 1.09)"
5. + Study site = full with site,"1.14 (0.96, 1.35)","1.06 (0.97, 1.15)","1.13 (0.96, 1.34)","1.03 (0.98, 1.08)"
"SECONDARY: full, no site, + IPW","1.25 (1.07, 1.46)","1.12 (1.03, 1.21)","1.20 (1.02, 1.42)","1.04 (0.99, 1.09)"
PRIMARY: full + site + IPW,"1.14 (0.96, 1.35)","1.05 (0.97, 1.15)","1.14 (0.96, 1.35)","1.03 (0.98, 1.08)"
